marker,qg2471,qg2472,qg2473,qg2474,qg2475,qg2476,qg2477,qg2478,qg2479,qg2480,qg2481,qg2482,qg2483,qg2484,qg2485,qg2486,qg2487,qg2489,qg2490,qg2491,qg2492,qg2493,qg2494,qg2495,qg2496,qg2497,qg2499,qg2500,qg2501,qg2502,qg2503,qg2505,qg2506,qg2507,qg2508,qg2509,qg2510,qg2511,qg2512,qg2513,qg2514,qg2515,qg2516,qg2517,qg2519,qg2520,qg2521,qg2522,qg2523,qg2524,qg2526,qg2527,qg2529,qg2530,qg2531,qg2533,qg2534,qg2535,qg2536,qg2537,qg2538,qg2539,qg2540,qg2541,qg2542,qg2545,qg2546,qg2547,qg2548,qg2549,qg2550,qg2551,qg2552,qg2553,qg2554,qg2555,qg2556,qg2557,qg2559,qg2560,qg2561,qg2562,qg2563,qg2564,qg2565,qg2566,qg2567,qg2568,qg2569,qg2570,qg2571,qg2572,qg2573,qg2574,qg2575,qg2576,qg2577,qg2578,qg2579,qg2580,qg2581,qg2582,qg2583,qg2584,qg2585,qg2587,qg2588,qg2589,qg2590,qg2591,qg2592,qg2593,qg2594,qg2595,qg2596,qg2597,qg2598,qg2599,qg2600
Ctg001.501,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.551,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.601,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.651,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.701,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.751,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.801,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.851,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.901,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.951,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1001,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1051,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1101,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1151,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1201,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1251,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1301,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1351,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1401,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1451,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1501,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1551,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1601,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1651,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
Ctg001.1701,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,NA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,NA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB
